city,state,county,name,zip,state2,address,phone
Elberta,AL,baldwin,Josephine Volunteer Fire Department,36530,al,6824 County Road 95,251-987-5173
Lillian,AL,baldwin,Lillian Fire Department,36549,al,34180 Widell Avenue,251-962-2696
Magnolia Springs,AL,baldwin,Magnolia Springs Fire Department,36555,al,14809 Gates Avenue,251-965-7808
Orange Beach,AL,baldwin,Orange Beach Fire Station 2,36561,al,25853 John M Snook Drive,251-981-6166
Gulf Shores,AL,baldwin,Oyster Bay Fire Department,36542,al,4590 County Road 6,251-968-6161
Elberta,AL,baldwin,Perdido Beach Fire Department,36530,al,8450 Escambia Avenue,251-961-7116
Perdido,AL,baldwin,Perdido Volunteer Fire Department,36562,al,23380 County Road 47,251-580-0244
Bay Minette,AL,baldwin,Rabun Volunteer Fire Department,36507,al,47860 Rabun Road,251-937-8747
Eufaula,AL,barbour,Baker Hill Volunteer Fire Department,36027,al,1956 Highway 131,334-687-3300
Clayton,AL,barbour,Clayton Volunteer Fire Department,36016,al,6 South Midway Street,334-775-9176
Clio,AL,barbour,Clio Volunteer Fire Department,36017,al,3311 Elamville Street,334-397-4402
Eufaula,AL,barbour,Cowikee Volunteer Fire Department,36027,al,1358 Gammage Road,334-687-2070
Eufaula,AL,barbour,Eufaula Fire Department,36027,al,115 South Orange Avenue,334-687-1218
Louisville,AL,barbour,Green's Crossroad Volunteer Fire Department,36048,al,582 County Road 44,334-775-8409
Louisville,AL,barbour,Louisville Fire & Rescue,36048,al,1951 Main Street,334-266-5210
Clayton,AL,barbour,Texasville Volunteer Fire Department,36016,al,2375 County Road 53,334-775-9110
Eufaula,AL,barbour,White Oak Volunteer Fire Department,36027,al,102 White Oak Drive,334-616-6161
Centreville,AL,bibb,Brent Police Department,35042,al,22 1st Street South,205-926-4643
Brierfield,AL,bibb,Brierfield Volunteer Fire And Rescue,35035,al,18567 Highway 139,205-665-3060
West Blocton,AL,bibb,Cedar Grove Fire Department,35184,al,11655 North Scottsville Road,205-938-2087
Centreville,AL,bibb,Centreville Volunteer Fire Department,35042,al,506 Montevallo Road,205-926-9835
Lawley,AL,bibb,Lawley Volunteer Fire Department,36793,al,2971 County Road 36,334-366-4214
Randolph,AL,bibb,Randolph Volunteer Fire Department,36792,al,Hwy 36,
Woodstock,AL,bibb,Woodstock Volunteer Fire Department,35188,al,27451 Highway 5,205-938-9790
Oneonta,AL,blount,Allgood Volunteer Fire And Rescue,35121,al,3545 Old Highway 75,205-274-7138
Blountsville,AL,blount,Blountsville Volunteer Fire & Rescue Department Station 1,35031,al,10017 Lee Street West,205-429-2406
Blountsville,AL,blount,Brooksville Fire & Rescue,35031,al,81390 U.s. 278,205-429-3386
Trafford,AL,blount,Dallas-Selfville Fire & Rescue,35172,al,24555 Highway 79,205-681-1622
Locust Fork,AL,blount,Locust Fork Fire Department,35097,al,32 Town Hall Road,205-681-4501
Hayden,AL,blount,Mt High Volunteer Fire Department,35079,al,1777 Skyline Drive,205-647-0800
Oneonta,AL,blount,Murphree Valley Volunteer Fire Department,35121,al,115 Buckner Mill Road,205-559-1018
Cleveland,AL,blount,Nectar Town Hall,35049,al,14795 Highway 160,205-559-7780
Oneonta,AL,blount,Oneonta Fire Department,35121,al,308 2nd Street North,205-274-2752
Remlap,AL,blount,Remlap Fire Department,35133,al,18762 Remlap Drive,205-681-6020
Hayden,AL,blount,Ricetown Volunteer Fire & Rescue,35079,al,401 Ricetown Road,205-647-3882
Blountsville,AL,blount,Royal Community Fire Department,35031,al,16151 County Highway 26,205-429-4777
Oneonta,AL,blount,Straight Mountain Fire Department Stn 1,35121,al,4201 County Highway 29,205-274-0056
Altoona,AL,blount,Susan Moore Fire And Rescue Department,35952,al,39989 Alabama 75,205-466-3288
Hayden,AL,blount,West Blount Fire & Rescue,35079,al,757 County Highway 7,205-647-4566
Fitzpatrick,AL,bullock,Greenwood-Fitzpatrick Volunteer Fire Department,36029,al,9545 Highway 110,334-738-4959
Midway,AL,bullock,Midway Volunteer Fire Department,36053,al,Hwy 82E,334-529-3261
Union Springs,AL,bullock,Thompson Cornerstone Volunteer Fire Department,36089,al,18 Ellis Street,334-738-4931
Union Springs,AL,bullock,Union Springs Volunteer Fire Department,36089,al,303 North Prairie Street,334-738-2720
Union Springs,AL,bullock,Warrior Stand Volunteer Fire Department,36089,al,116 County Rd 10,334-724-0040
Greenville,AL,butler,Brushey - Mashy Creek Volunteer Fire Department,36037,al,5707 East Dogwood Trail,334-376-5479
Greenville,AL,butler,Bs And W Volunteer Fire Department,36037,al,4623 Pettibone Road,334-382-5698
Forest Home,AL,butler,Forest Home Volunteer Fire,36030,al,7872 Forest Home Road,334-382-9911
McKenzie,AL,butler,Garland Volunteer Fire Department,36456,al,895 Reid Rd,334-374-2524
Greenville,AL,butler,Greenville Fire Chief,36037,al,200 Cedar Street,334-382-3134
Greenville,AL,butler,Liberty Volunteer Fire Department,36037,al,62 Ridge Road,334-382-2966
McKenzie,AL,butler,Mckenzie Volunteer Fire Department,36456,al,27 South Garland Road,334-656-9911
Greenville,AL,butler,Pigeon Creek Volunteer Fire Department,36037,al,3389 Pigeon Creek Road,334-382-4792
Georgiana,AL,butler,Providence - Mount Pisgah Volunteer Fire Department,36033,al,1806 Starlington Road,334-346-2583
Greenville,AL,butler,Searcy Volunteer Fire Department,36037,al,5183 Airport Road,334-382-3849
Greenville,AL,butler,Shackleville Volunteer Fire Department,36037,al,2016 South Shackleville Road,334-382-1708
Alexandria,AL,calhoun,Alexandria Fire Department,36250,al,2222 Alexandria-Wellington Road,256-820-2121
Anniston,AL,calhoun,Anniston Fire Department,36207,al,225 East 17th Street,256-231-7644
Jacksonville,AL,calhoun,Jacksonville Fire Department,36265,al,506 Chinabee Avenue Southeast,256-435-2310
Ohatchee,AL,calhoun,Mt Olive Volunteer Fire,36271,al,2807 Boiling Springs Road,256-892-0660
Ohatchee,AL,calhoun,Ohatchee Volunteer Fire Department,36271,al,2396 Harts Ferry Road,256-892-3911
Piedmont,AL,calhoun,Piedmont Fire Department,36272,al,312 North Center Avenue,256-447-3364
Anniston,AL,calhoun,Quad Cities Volunteer Fire Department,36207,al,75 Earl Roberts Road,256-238-8835
Wellington,AL,calhoun,Webster's Chapel Volunteer Fire Department,36279,al,1552 A P Hollingsworth Road,256-492-3311
Piedmont,AL,calhoun,White Plains Vol Fire Department,36272,al,12900 Highway 9,256-435-3600
Valley,AL,chambers,Beulah Fire Department,36854,al,5350 Lee Road 270,334-742-0090
Cusseta,AL,chambers,Cusseta Fire Department,36852,al,PO Box 51,334-749-8680
Valley,AL,chambers,East Alabama Fire Department,36854,al,615 U.s. 29,334-756-7156
Lanett,AL,chambers,Lakeview Fire And Rescue,36863,al,3181 County Road 289,334-642-1919
Lanett,AL,chambers,Lanett Fire & Ems,36863,al,401 North Lanier Avenue,334-644-5230
La Fayette,AL,chambers,Ridge Grove Volunteer Fire,36862,al,9104 County Road 48,334-864-5424
La Fayette,AL,chambers,Union Hill Fire Department,36862,al,8422 Alabama 77,334-864-5749
Gaylesville,AL,cherokee,Broomtown Rinehart Fire Department,35973,al,2340 County Road 46,256-422-5457
Cedar Bluff,AL,cherokee,Cedar Bluff Volunteer Fire Department,35959,al,4920 Main Street,256-779-6121
Centre,AL,cherokee,Centre Volunteer Fire Department,35960,al,401 East Main Street,256-927-3333
Centre,AL,cherokee,Ellisville Volunteer Fire Department,35960,al,7315 Highway 9,
Gaylesville,AL,cherokee,Gaylesville Volunteer Fire Department,35973,al,4740 Main Street,256-422-5299
Leesburg,AL,cherokee,Leesburg Fire Department,35983,al,1900 Lokey Street,256-526-7777
Centre,AL,cherokee,Mc Cord's Crossroads Fire Department,35960,al,6600 County Road 16,256-475-3701
Piedmont,AL,cherokee,Mount Weisner Fire Department,36272,al,565 County Road 39,256-927-7286
Sand Rock,AL,cherokee,Sand Rock Fire Department,35983,al,1805 Sand Rock Avenue,256-523-3007
Piedmont,AL,cherokee,Spring Garden Fire Department,36272,al,4635 County Road 8,256-447-1959
Clanton,AL,chilton,Cedar Grove Fire Department,35045,al,2245 County Road 37,205-646-0536
Clanton,AL,chilton,Clanton Fire Department,35045,al,100 6th Street South,205-755-0533
Clanton,AL,chilton,Collins Chapel Fire & Rescue Department,35045,al,13274 County Road 29,205-646-3052
Clanton,AL,chilton,East Chilton Fire & Rescue,35046,al,5640 County Road 28,205-755-8200
Verbena,AL,chilton,Enterprise Volunteer Fire Department,36091,al,6162 County Road 24,205-755-8400
Clanton,AL,chilton,Fairview Volunteer Fire Department,35045,al,9597 County Road 37,205-755-9529
Clanton,AL,chilton,Gap of the Mountain Fire & Rescue,35046,al,768 County Road 55,205-755-5665
Maplesville,AL,chilton,Isabella Volunteer Fire And Rescue,36750,al,1960 County Road 29,205-755-9636
Jemison,AL,chilton,Jemison Fire Department,35085,al,191 North Main Street,205-688-4493
Verbena,AL,chilton,Lilly Hill - Pentacost Volunteer Fire Department,36091,al,5238 County Road 447,205-280-0509
Jemison,AL,chilton,North Chilton Fire Rescue,35085,al,250 County Road 46,205-668-2018
Maplesville,AL,chilton,South Chilton Volunteer Fire Department,36750,al,County Rd 16,334-366-2055
Thorsby,AL,chilton,Thorsby Fire Department,35171,al,26 Minnesota Avenue,205-646-3575
Jemison,AL,chilton,Union Grove Fire & Rescue Department,35085,al,10896 County Road 51,205-688-2727
Verbena,AL,chilton,Verbena Fire Department,36091,al,3885 U.s. 31,205-755-3613
Gilbertown,AL,choctaw,Gilbertown Volunteer Fire Department,36908,al,197 College St,251-843-3198
Lisman,AL,choctaw,Lisman Volunteer Fire Department,36912,al,100012 Crowell Dr,205-398-3842
Needham,AL,choctaw,New Hope Volunteer Fire Department,36915,al,2887 New Hope Road,251-843-4688
Gilbertown,AL,choctaw,Pleasant Hill Volunteer Fire Department,36908,al,6507 Pleasant Hill Road,205-459-3228
Toxey,AL,choctaw,Toxey Volunteer Fire Department,36921,al,158 Broad Street,251-843-5222
Butler,AL,choctaw,West Alabama Emergency Response Team,36904,al,811 West Pushmataha Street,205-459-1135
Grove Hill,AL,clarke,Antioch Fire Department,36451,al,113 Antioch Rd,251-246-2375
Coffeeville,AL,clarke,Coffeeville Volunteer Fire Department,36524,al,19 Spring Street,
Fulton,AL,clarke,Fulton Volunteer Fire Department,36446,al,Main St,
Jackson,AL,clarke,Jackson Fire Department,36545,al,101 West Church Street,251-246-9009
Jackson,AL,clarke,Salitpa Volunteer Fire Department,36545,al,145 River Canyon Road,251-246-2821
Coffeeville,AL,clarke,Westbend/Bethel Vol Fire Department,36524,al,5730 West Bend Road,251-276-3270
Ashland,AL,clay,Ashland Fire Department,36251,al,21 3rd Avenue South,256-354-3121
Lineville,AL,clay,Barfield Volunteer Fire Department,36266,al,38 Barfield Fire Dept Rd,256-396-5504
Delta,AL,clay,Cheaha State Park,36258,al,19644 Highway 281,256-488-5111
Lineville,AL,clay,Coppermine Volunteer Fire Department,36266,al,6480 County Road 31,256-354-3288
Cragford,AL,clay,Cragford-Corinth Volunteer Fire Department,36255,al,11075 Cragford Road,
Delta,AL,clay,Delta Volunteer Fire Department,36258,al,51 Delta Church Road,256-488-5449
Lineville,AL,clay,Lineville Volunteer Fire Department,36266,al,88730 Highway 9,256-396-5462
Ashland,AL,clay,Millerville Volunteer Fire Department,36251,al,40 School House Rd,
Millerville,AL,clay,Millerville Volunteer Fire Department,36267,al,40 School House Rd,256-354-5501
Lineville,AL,clay,Pine Grove Volunteer Fire Department,36266,al,4650 Highway 48,256-396-2627
Ashland,AL,clay,Salem Township Volunteer Fire Company 2,36251,al,332 Fire Station Road,724-832-1010
Fruithurst,AL,cleburne,Fruithurst Volunteer Fire Department,36262,al,16225 Highway 4,256-579-5009
Heflin,AL,cleburne,Heflin Fire Department,36264,al,1335 Ross Street,256-463-2735
Heflin,AL,cleburne,Hollis Crossroads Volunteer Fire Department,36264,al,9020 U.s. 431,256-253-0051
Heflin,AL,cleburne,Micaville Volunteer Fire Department,36264,al,3384 County Road 10,
Muscadine,AL,cleburne,Muscadine Volunteer Fire Department,36269,al,96 County Road 446,
Fruithurst,AL,cleburne,Piney Woods-Oak Level Volunteer Fire Department,36262,al,7890 County Road 65,
Ranburne,AL,cleburne,Ranburne Fire Department,36273,al,21953 Main Street,256-568-3000
Ranburne,AL,cleburne,Turkey Heaven Volunteer Fire Department,36273,al,1894 County Road 41,256-748-3704
Heflin,AL,cleburne,Turkey Heaven Volunteer Fire Department,36264,al,13589 Highway 46,256-748-2919
Enterprise,AL,coffee,Battens Volunteer Fire Department,36330,al,8876 County Road 636,334-347-7722
Elba,AL,coffee,Elba Volunteer Fire Department,36323,al,200 Buford Street,334-897-2222
Enterprise,AL,coffee,Enterprise Fire Department,36330,al,501 South Main Street,334-348-2641
Kinston,AL,coffee,Kinston Volunteer Fire Department,36453,al,718 Main Street,334-565-3188
New Brockton,AL,coffee,New Brockton Volunteer Fire Department,36351,al,419 Ainsley Street,334-447-2556
Enterprise,AL,coffee,Tri-Community Volunteer Fire Department,36330,al,3215 County Road 708,
Cherokee,AL,colbert,Barton Fire Department,35616,al,865 Water Street,256-370-7584
Leighton,AL,colbert,Brick Hatton Volunteer Fire Department,35646,al,9855 2nd Street,256-446-5221
Tuscumbia,AL,colbert,Colbert Heights Volunteer Fire Department,35674,al,PO Box 823,256-386-7230
Tuscumbia,AL,colbert,Hwy 247 Volunteer Fire Department,35674,al,4655 Highway 247,256-370-7484
Tuscumbia,AL,colbert,Locust Shores Volunteer Fire,35674,al,3905 Old Memphis Pike,256-383-4465
Muscle Shoals,AL,colbert,Muscle Shoals City Fire Department,35661,al,1002 Avalon Avenue,256-386-9230
Tuscumbia,AL,colbert,New Bethel Fire Department,35674,al,190 New Bethel Road,256-383-6143
Muscle Shoals,AL,colbert,Nitrate Volunteer Fire,35661,al,1340 Alabama Avenue,256-446-9022
Sheffield,AL,colbert,Sheffield City Fire Department,35660,al,601 East 2nd Street,256-386-5621
Tuscumbia,AL,colbert,Tuscumbia City Fire Department,35674,al,218 South Dickson Street,256-383-5757
Leighton,AL,colbert,Whiteoak Volunteer Fire Department,35646,al,5615 County Line Road,256-446-0040
Evergreen,AL,conecuh,Belleville Volunteer Fire Department,36401,al,7360 County Road 15,251-578-3472
Castleberry,AL,conecuh,Castleberry Volunteer Fire Department,36432,al,PO Box 144,251-966-2113
Evergreen,AL,conecuh,Evergreen Fire Department,36401,al,514 Rural Street,251-578-7220
Evergreen,AL,conecuh,Flat Rock Volunteer Fire Department,36401,al,193 Wiggins Rd,251-578-1990
Evergreen,AL,conecuh,Lyeffion Volunteer Fire Department,36401,al,575 Thad Grimes Rd,251-578-9344
Evergreen,AL,conecuh,Nymph Volunteer Fire Department,36401,al,25 Nymph Ln,251-966-2376
Evergreen,AL,conecuh,Owassa-Brownville Volunteer Fire Department,36401,al,Rt 3,
Repton,AL,conecuh,Range Volunteer Fire Department,36475,al,29051 Highway 41,251-248-2560
Repton,AL,conecuh,Repton Volunteer Fire Department,36475,al,Hwy 84 W,251-248-2100
Castleberry,AL,conecuh,Sandcut Volunteer Fire Department,36432,al,Rt 2,251-966-2135
Equality,AL,coosa,Equality Volunteer Fire Department,36026,al,Hwy 9,256-329-3982
Goodwater,AL,coosa,Goodwater Fire Department,35072,al,51 South Main Street,256-839-5521
Goodwater,AL,coosa,Hollins Volunteer Fire & Rescue,35072,al,404 Chapman Road,256-249-4014
Kellyton,AL,coosa,Kellyton Volunteer Fire And Rescue,35089,al,Hwy 115,256-234-5494
Equality,AL,coosa,Real Island Volunteer Fire,36026,al,1495 Real Island Road,334-857-3233
Rockford,AL,coosa,Rockford Volunteer Fire Department,35136,al,66 Smith St,256-377-4911
Goodwater,AL,coosa,Tri-County Volunteer Fire Department,35072,al,2051 Firehouse Road,356-839-6030
Andalusia,AL,covington,Andalusia Fire Department,36420,al,100 Church Street,334-222-1121
Andalusia,AL,covington,Babbie Volunteer Fire Department,36421,al,22543 Babbie Road,334-493-2747
Red Level,AL,covington,Beat Volunteer Fire Department 8,36474,al,Rte 1,
Wing,AL,covington,Bradley Volunteer Fire Department,36483,al,15704 Bradley Road,
Andalusia,AL,covington,Carolina Volunteer Fire Department,36420,al,Rt 5,334-222-9126
Andalusia,AL,covington,Dixie Volunteer Fire Department,36420,al,County Rd 7,
Florala,AL,covington,Florala Fire Department,36442,al,1015 North 4th Street,334-858-5884
Gantt,AL,covington,Gantt Area Fire & Rescue,36038,al,28895 Commerce St,334-388-3002
Andalusia,AL,covington,Heath Volunteer Fire Department,36420,al,Rt 6 County Rd 70,334-222-6073
Andalusia,AL,covington,Libertyville Fire Department,36420,al,Powell Rd,334-427-8743
Red Level,AL,covington,Loango Volunteer Fire Department,36474,al,5091 Seales Lane,334-469-5188
Florala,AL,covington,Lockhart Volunteer Fire Department,36442,al,1548 Chippeway Street,334-858-6744
Opp,AL,covington,Onycha Volunteer Fire Department,36467,al,25374 Indian Creek Rd,334-493-9154
Opp,AL,covington,Opp City Fire Department,36467,al,200 North Main Street,334-493-7015
Red Level,AL,covington,Red Level Volunteer Fire Department,36474,al,Fire House Rd,334-469-5351
Andalusia,AL,covington,Red Oak Area Volunteer Fire,36420,al,13737 Highway 55,334-858-5321
Opp,AL,covington,Union Grove Volunteer Fire Department,36467,al,27716 Fleeta Rd,334-493-1188
Wing,AL,covington,Wing Volunteer Fire Department,36483,al,9964 County Road 4,
Brantley,AL,crenshaw,Brantley Fire & Rescue Department,36009,al,9413 Emmett Avenue,334-527-8624
Brantley,AL,crenshaw,Bullock Community Volunteer Fire Department,36009,al,5375 Old 3 Notch Road,
Dozier,AL,crenshaw,Dozier Volunteer Fire Department,36028,al,42 Tyner St,334-496-3848
Dozier,AL,crenshaw,F.I.W. Fire Department,36028,al,8136 Georgiana Highway,
Luverne,AL,crenshaw,Fullers Crossroads Fire Department,36049,al,7946 Montgomery Highway,
Glenwood,AL,crenshaw,Glenwood Volunteer Fire Department,36034,al,106 King Street,334-335-3334
Highland Home,AL,crenshaw,Highland Home Fire & Rescue,36041,al,16326 Montgomery Highway,334-537-4340
Luverne,AL,crenshaw,Luverne City Fire Department,36049,al,217 Forest Avenue,334-335-3345
Dozier,AL,crenshaw,Rose Hill Volunteer Fire Department,36028,al,37012 Straughn School Rd,334-496-4001
Rutledge,AL,crenshaw,Rutledge Fire Department,36071,al,35 South Bolling Avenue,334-335-5027
Hanceville,AL,cullman,Argo Fire Department,35077,al,100 Ward Hill,205-352-2109
Bremen,AL,cullman,Arkadelphia Volunteer Fire Department,35033,al,5023 County Road 35,250-287-0649
Baileyton,AL,cullman,Baileyton Volunteer Fire Department,35019,al,PO Box 37,256-796-2332
Vinemont,AL,cullman,Battle Ground Volunteer Fire Department,35179,al,8630 County Road 1082,256-747-6748
Cullman,AL,cullman,Berlin Volunteer Fire Department,35055,al,3581 US Highway 278 E,
Cullman,AL,cullman,"Bethsadia Volunteer Fire Department, Station #1",35057,al,454 County Road 804,256-734-5458
Cullman,AL,cullman,Bremen Volunteer Fire Department,35055,al,County Rd 110,256-287-0245
Bremen,AL,cullman,Cold Springs Volunteer Fire,35033,al,9110 County Road 109,256-287-0055
Crane Hill,AL,cullman,Crane Hill Volunteer Fire Department,35053,al,15123 County Road 222,256-747-2700
Cullman,AL,cullman,Cullman Fire Rescue,35055,al,204 2nd Avenue Northeast,256-775-7186
Hanceville,AL,cullman,Dodge City Volunteer Fire Department,35077,al,554 County Road 72,256-287-0186
Hanceville,AL,cullman,Garden City Volunteer Fire Department,35077,al,106 5th Street Southwest,256-352-5408
Cullman,AL,cullman,Gold Ridge Fire Department,35058,al,5225 County Road 1545,256-796-2504
Hanceville,AL,cullman,Hanceville Fire & Rescue,35077,al,1304 Edmondson Road,256-352-5544
Cullman,AL,cullman,Jone's Chapel Fire Department,35057,al,96 County Road 940,256-747-3654
Cullman,AL,cullman,Loretto Volunteer Fire Department,35057,al,7648 County Road 437,256-737-9780
Joppa,AL,cullman,Tri-County Fire Department,35087,al,12132 Highway 67,256-586-0132
Cullman,AL,cullman,Trimble Volunteer Fire Department,35057,al,4896 County Road 222,256-734-8366
Cullman,AL,cullman,Vinemont-Providence Fire Department,35058,al,60 Ridgeway Street,256-739-5855
Cullman,AL,cullman,Walter Volunteer Fire Department,35055,al,4411 County Road 781,256-352-6706
Ozark,AL,dale,Choctawhatchee Volunteer Fire Department,36360,al,6225 Highway 27,334-795-6799
Daleville,AL,dale,Daleville Volunteer Fire Department,36322,al,730 Daleville Avenue,334-598-4442
Midland City,AL,dale,Dothan Regional Airport Fire Department,36350,al,800 Airport Drive,334-983-8102
Ariton,AL,dale,Elamville Volunteer Fire Department,36311,al,50 Byrd Road,
Daleville,AL,dale,Level Plains Volunteer Fire Department,36322,al,1708 Joe Bruer Road,334-503-0406
Ozark,AL,dale,Marley Mills Fire Department,36360,al,145 Hull Street,
Midland City,AL,dale,Midland City Volunteer Fire Department,36350,al,100 Hinton Waters Ave,334-983-1944
Dothan,AL,dale,Napier Field Volunteer Fire,36303,al,358 Headquarters Street,334-983-3190
Newton,AL,dale,Newton Volunteer Fire Department,36352,al,72 Spring Street,334-299-3361
Ozark,AL,dale,Ozark Fire Department,36360,al,1061 Deese Road,334-774-1684
Midland City,AL,dale,Pinckard Volunteer Fire Department,36350,al,1701 Highway 134,334-983-9178
Ariton,AL,dale,Skipperville Volunteer Fire Department,36311,al,Rt 2,334-774-6026
Newton,AL,dale,Wicksburg Fire & Rescue Department,36352,al,5340 Judge Logue Road,334-692-3487
Selma,AL,dallas,Burnsville Volunteer Fire Department,36703,al,8605 Highway 14,334-418-0994
Minter,AL,dallas,Carlowville Volunteer Fire,36761,al,100 County Road 4,334-872-4300
Orrville,AL,dallas,Orrville Volunteer Fire Department,36767,al,456 South Street West,334-996-3473
Plantersville,AL,dallas,Plantersville Volunteer Fire Department,36758,al,111 Oak Street,334-366-2141
Selma,AL,dallas,Potter Station Volunteer Fire Department,36701,al,County Rd 44,334-875-9928
Safford,AL,dallas,Safford Volunteer Fire Department,36773,al,Rte 5 & Rte 22,334-573-2673
Selma,AL,dallas,Sardis Volunteer Fire Department,36701,al,8130 County Road 30,334-875-5443
Selma,AL,dallas,Selma Fire Department,36703,al,20 Franklin Street,334-874-2150
Valley Grande,AL,dallas,Valley Grande Volunteer Fire Department,36703,al,8577 Highway 22,334-875-3600
Collinsville,AL,dekalb,Black Creek Fire Department,35961,al,20 Styles Bridge Road,256-523-6768
Fort Payne,AL,dekalb,Blake Fire Department,35968,al,3301 County Road 27,256-638-8881
Crossville,AL,dekalb,Crossville Fire Department,35962,al,13987 Highway 68,256-528-7700
Fort Payne,AL,dekalb,Desoto State Park Fire Department,35967,al,13883 County Rd 89,256-845-0051
Fort Payne,AL,dekalb,Dogtown Volunteer Fire Department,35967,al,127 County Road 89,256-845-7266
Fort Payne,AL,dekalb,Fort Payne Fire & Rescue,35967,al,111 Gault Avenue South,256-845-6250
Fyffe,AL,dekalb,Fyffe Fire & Rescue,35971,al,514 Campbell Street,256-623-3911
Valley Head,AL,dekalb,Hammondville Volunteer Fire Department,35989,al,37684 Route 11,256-635-6374
Henagar,AL,dekalb,Henagar Volunteer Fire Department,35978,al,18077 Alabama 75,256-657-3221
Henagar,AL,dekalb,Ider Volunteer Fire Department,35978,al,10793 Alabama 75,256-657-4184
Crossville,AL,dekalb,Kilpatrick Fire Improvement Authority,35962,al,101 County Rd,256-561-2250
Mentone,AL,dekalb,North Lookout Mountain Fire Protection District,35984,al,5922 Highway 117,
Fort Payne,AL,dekalb,Pine Ridge Fire Department,35968,al,58 Municipal Drive,256-845-2200
Fyffe,AL,dekalb,Powell Volunteer Fire Department,35971,al,110 South Broad Street,256-638-3344
Rainsville,AL,dekalb,Rainsville Fire Department,35986,al,71 Circle Drive Northwest,256-638-8055
Sylvania,AL,dekalb,Sylvania Volunteer Fire Department,35988,al,14 Enterprise St,256-638-2604
Fort Payne,AL,dekalb,Tuckers Chapel Volunteer Fire,35967,al,5915 County Road 43,256-523-3575
Titus,AL,elmore,Buyck Volunteer Fire Department,36080,al,125 Laurel Creek Road,334-514-0410
Coosada,AL,elmore,Coosada Volunteer Fire Department,36020,al,5830 Coosada Road,334-285-6200
Eclectic,AL,elmore,Eclectic Fire Department,36024,al,140 1st Avenue,334-541-4425
Elmore,AL,elmore,Elmore Volunteer Fire Department,36025,al,15 Fire Station Road,334-567-3480
Wetumpka,AL,elmore,Emerald Mountain Volunteer Fire Department,36093,al,1785 Old Ware Road,334-514-4357
Tallassee,AL,elmore,Friendship Fire Department,36078,al,4544 Friendship Road,334-283-6463
Wetumpka,AL,elmore,Holtville Slapout Fire Department,36092,al,5615 Ceasarville Road,334-569-2461
Eclectic,AL,elmore,Kowaliga Volunteer Fire Department,36024,al,1240 Prospect Road,334-857-3648
Millbrook,AL,elmore,Millbrook Fire Department,36054,al,3820 Grandview Road,334-285-6707
Wetumpka,AL,elmore,Redland Volunteer Fire Department,36093,al,4367 Redland Road,334-514-6787
Wetumpka,AL,elmore,Santuck Volunteer Fire Department,36092,al,7645 Central Plank Road,334-567-5144
Eclectic,AL,elmore,Seman Volunteer Fire Department,36024,al,15860 Central Plank Road,334-541-4600
Tallassee,AL,elmore,Tallassee Fire Department,36078,al,123 North Ann Avenue,334-283-6586
Wetumpka,AL,elmore,Wetumpka Fire Department,36092,al,405 South Main Street,334-567-1333
Brewton,AL,escambia,Appleton Volunteer Fire Department,36426,al,3538 Mason Mill Pond Road,251-867-0703
Atmore,AL,escambia,Atmore Fire Department,36502,al,201 East Louisville Avenue,251-368-9156
Brewton,AL,escambia,Boykin-Damascus Volunteer Fire Department,36426,al,2408 Damascus Road,251-867-3003
