city,state,county,name,zip,state2,address,phone
Cedar Bluff,AL,cherokee,Cedar Bluff Police Department,35959,al,3420 Spring Street,256-779-6835
Centre,AL,cherokee,Centre Police Department,35960,al,110 Cedar Bluff Rd,256-927-3661
Clanton,AL,chilton,Clanton Police Department,35045,al,601 1st Avenue,205-755-1194
Jemison,AL,chilton,Jemison Municipal Complex : Police Headquarters,35085,al,24747 U.s. 31,205-688-4491
Maplesville,AL,chilton,Maplesville Town Hall,36750,al,9400 Highway 22,334-366-4211
Thorsby,AL,chilton,Thorsby Police Department,35171,al,21060 U.s. 31,205-646-3555
Butler,AL,choctaw,Butler Police Department,36904,al,114 South Academy Avenue,205-459-3794
Gilbertown,AL,choctaw,Gilbertown Police Department,36908,al,40 Front St,251-843-2766
Grove Hill,AL,clarke,Grove Hill Fire Department,36451,al,111 Church Street,251-275-3153
Jackson,AL,clarke,Jackson Volunteer Fire Department,36545,al,118 College Avenue,251-246-4484
Heflin,AL,cleburne,Heflin Police Department,36264,al,174 Bell Street,256-463-2292
Ranburne,AL,cleburne,Ranburne Town Police Department,36273,al,21383 Main Street,256-568-9044
Elba,AL,coffee,Elba Police Department,36323,al,304 Simmons Street,334-897-1300
Kinston,AL,coffee,Kinston Town Police Department,36453,al,856 Main Street,334-565-3188
New Brockton,AL,coffee,New Brockton Police Department,36351,al,202 South John Street,334-894-5559
Enterprise,AL,coffee,Police Department-Records,36330,al,501 South Main Street,334-347-1211
Cherokee,AL,colbert,Cherokee Police Department,35616,al,3752 Old Lee Highway,256-359-4426
Muscle Shoals,AL,colbert,Muscle Shoals Police Department,35661,al,1000 Avalon Avenue,256-383-6746
Sheffield,AL,colbert,Sheffield Police Department,35660,al,600 North Montgomery Avenue,256-383-1771
Tuscumbia,AL,colbert,Tuscumbia Police Department,35674,al,218 South Dickson Street,256-383-3121
Castleberry,AL,conecuh,Castleberry Police Department,36432,al,110 West Cleveland Avenue,251-966-2141
Evergreen,AL,conecuh,Evergreen Police Department,36401,al,355 East Front Street,251-578-1111
Rockford,AL,coosa,Rockford Police Department,35136,al,110 Main St,256-377-4911
Andalusia,AL,covington,Andalusia Police Department,36420,al,102 Opp Avenue,334-222-1155
Florala,AL,covington,Florala Police Department,36442,al,1137 North 4th Street,334-858-3245
Florala,AL,covington,Lockhart Police Department,36442,al,1548 Chippeway Street,334-858-6744
Opp,AL,covington,Opp City Police Station,36467,al,106 North Main Street,334-493-4511
Red Level,AL,covington,Red Level Police Department,36474,al,29098 Smiley St,334-469-5351
Brantley,AL,crenshaw,Brantley Police Department,36009,al,9042 Emmett Avenue,334-527-3244
Luverne,AL,crenshaw,Luverne Police Department,36049,al,64 6th Street,334-335-3334
Cullman,AL,cullman,Cullman Police Department,35055,al,601 2nd Avenue Northeast,256-734-1434
Hanceville,AL,cullman,Hanceville Police Dept,35077,al,203 Bangor Avenue,256-352-9811
Ariton,AL,dale,Ariton Police Department,36311,al,28 West Main Street,334-762-2222
Daleville,AL,dale,Daleville Department of Public Safety,36322,al,730 Daleville Avenue,334-598-4444
Midland City,AL,dale,Midland City Police Department,36350,al,1343 Hinton Waters Avenue,334-983-3591
Dothan,AL,dale,Napier Field Police Department,36303,al,400 Headquarters Street,334-873-4266
Newton,AL,dale,Newton Police Department,36352,al,9 North College Street,334-299-0004
Ozark,AL,dale,Ozark Police Department,36360,al,275 North Union Avenue,334-445-6122
Pinckard,AL,dale,Pinckard Town Hall,36371,al,1313 Highway 134,334-983-3517
Selma,AL,dallas,Selma Police Chief's Office,36703,al,1300 Alabama Avenue,334-874-2120
Collinsville,AL,dekalb,Collinsville Police Department,35961,al,39 Post Office St,256-524-2136
Crossville,AL,dekalb,Crossville Police Department,35962,al,14521 Highway 68,256-528-7121
Fyffe,AL,dekalb,Fyffe Police Department,35971,al,1010 Main Street,256-623-2222
Geraldine,AL,dekalb,Geraldine Police Department,35974,al,41343 Alabama 75,256-659-2122
Rainsville,AL,dekalb,Rainsville Police Department,35986,al,42 McCurdy Avenue North,256-638-2157
Sylvania,AL,dekalb,Sylvania Police Department,35988,al,22957 Alabama 75,256-638-2604
Eclectic,AL,elmore,Eclectic Police Department,36024,al,50 Main Street,334-541-2148
Millbrook,AL,elmore,Millbrook Police Department,36054,al,3841 Grandview Road,334-285-6832
Tallassee,AL,elmore,Tallassee Chief of Police,36078,al,214 Barnett Boulevard,334-283-6586
Wetumpka,AL,elmore,Wetumpka Police Department,36092,al,203 East Charles Avenue,334-567-5321
Flomaton,AL,escambia,Flomaton Police Department,36441,al,2125 Ringold Street,251-296-5811
Altoona,AL,etowah,Altoona Police Department,35952,al,2844 Main Street,205-589-2000
Attalla,AL,etowah,Attalla Police Department,35954,al,302 6th Avenue Northwest,256-538-7837
Gadsden,AL,etowah,Gadsden City Police Department,35901,al,90 Broad Street,256-549-4578
Gadsden,AL,etowah,Glencoe City Police Department,35905,al,201 Chastain Boulevard West,256-492-1424
Hokes Bluff,AL,etowah,Hokes Bluff City Hall,35903,al,3301 Alford Bend Road,256-492-2414
Rainbow,AL,etowah,Rainbow City Police Department,35906,al,3700 Rainbow Drive,256-442-2513
Southside,AL,etowah,Southside Police Department,35907,al,2255 Alabama 77,256-442-2256
Berry,AL,fayette,Berry Water Department,35546,al,30 School Avenue,205-689-4562
Fayette,AL,fayette,Fayette Police Department,35555,al,118 1st Avenue Northeast,205-932-5312
Russellville,AL,franklin,Littleville Police Department,35654,al,1810 George Wallace Highway,256-332-3474
Phil Campbell,AL,franklin,Phil Campbell Police Department,35581,al,580 Railroad Street,205-993-5314
Red Bay,AL,franklin,Red Bay Police Department,35582,al,112 5th Avenue Southeast,256-356-4455
Russellville,AL,franklin,Russellville Police Department,35653,al,400 North Jackson Avenue,256-332-2230
Geneva,AL,geneva,Geneva Police Department,36340,al,517 South Commerce Street,334-684-2777
Hartford,AL,geneva,Hartford Police Department,36344,al,114 South 4th Avenue,334-588-2222
Samson,AL,geneva,Samson Police Department,36477,al,13 Main Street,334-898-7118
Slocomb,AL,geneva,Slocomb Police Department,36375,al,255 E Lawrence Harris Hwy,334-886-2334
Eutaw,AL,greene,Eutaw Police Department,35462,al,116 Main St,205-372-4334
Greensboro,AL,hale,Greensboro Police Department,36744,al,1101 Main Street,334-624-3902
Moundville,AL,hale,Moundville Police Department,35474,al,410 Market Street,205-371-2218
Abbeville,AL,henry,Abbeville Police Department,36310,al,101 East Washington Street,334-585-2221
Headland,AL,henry,Headland Police Department,36345,al,9 Park Street,334-693-2222
Ashford,AL,houston,Ashford Police Department,36312,al,519 North Broadway Street,334-899-5113
Columbia,AL,houston,Columbia Police Department,36319,al,202 South Main Street,334-696-4444
Cottonwood,AL,houston,Cottonwood Police Department,36320,al,1414 Metcalf Street,334-691-2113
Dothan,AL,houston,Dothan Police Department Jail,36303,al,210 North Saint Andrews Street,334-615-4630
Kinsey,AL,houston,Kinsey Police Department,36303,al,6947 Walden Drive,334-793-5409
Taylor,AL,houston,Taylor Town Hall,36301,al,1469 County Road 59,334-677-5079
Webb,AL,houston,Webb Police Department,36376,al,297 Main Street,334-712-0389
Bridgeport,AL,jackson,Bridgeport Police Department,35740,al,111 Soulard Sq,256-495-2140
Hollywood,AL,jackson,Hollywood Police Department,35752,al,29164 U.s. 72,256-259-1295
Scottsboro,AL,jackson,Scottsboro Police Department,35768,al,916 South Broad Street,256-574-4468
Stevenson,AL,jackson,Stevenson Police Department,35772,al,104 Kentucky Avenue,256-437-3005
Adamsville,AL,jefferson,Adamsville Police Department,35005,al,4911 Main Street,205-674-5671
Bessemer,AL,jefferson,Bessemer Police Jail,35020,al,23 15th Street North,205-481-4347
Birmingham,AL,jefferson,Birmingham Police Department,35215,al,600 Red Lane Road,205-254-2685
Brighton,AL,jefferson,Brighton Police Department,35020,al,3700 Main Street,205-425-8934
Brookside,AL,jefferson,Brookside Police Department,35036,al,208 Main Street,205-674-9275
Fairfield,AL,jefferson,Fairfield Police Department,35064,al,5231 Court East,205-786-5217
Fultondale,AL,jefferson,Fultondale Police Department,35068,al,1210 Walker Chapel Road,205-849-5456
Gardendale,AL,jefferson,Gardendale Police Department,35071,al,970 Main Street,205-631-8787
Graysville,AL,jefferson,Graysville Police Department,35073,al,246 South Main Street,205-674-5643
Homewood,AL,jefferson,Homewood Police Department,35209,al,1833 29th Avenue South,205-332-6204
Hoover,AL,jefferson,Hoover Police Department,35216,al,100 Municipal Drive,205-444-7700
Hueytown,AL,jefferson,Hueytown Police Department,35023,al,1318 Hueytown Road,205-491-3587
Irondale,AL,jefferson,Irondale Police Department,35210,al,101 20th Street South,205-956-5990
Kimberly,AL,jefferson,Kimberly Police Department,35091,al,9256 Stouts Road,205-647-5531
Leeds,AL,jefferson,Leeds Police Department,35094,al,1400 9th Street Southeast,205-699-2581
Midfield,AL,jefferson,Midfield Police Department,35228,al,725 Bessemer Super Highway,205-923-7575
Morris,AL,jefferson,Morris Police Department,35116,al,8304 Stouts Road,205-647-0596
Mountain Brook,AL,jefferson,Mountain Brook Police Department,35213,al,101 Tibbett Street,205-802-2414
Pleasant Grove,AL,jefferson,Pleasant Grove Police Department,35127,al,501 Park Road,205-744-1735
Birmingham,AL,jefferson,Tarrant Police Department,35217,al,2593 Commerce Circle,205-849-2811
Sulligent,AL,lamar,Sulligent Police Department,35586,al,5797 U.s. 278,205-698-9111
Anderson,AL,lauderdale,Anderson Fire Department,35610,al,7262 Highway 207,256-247-3617
Florence,AL,lauderdale,Florence Police Department,35630,al,702 South Seminary Street,256-760-6500
Killen,AL,lauderdale,Killen Police Department,35645,al,225 J C Mauldin Highway,256-757-5555
Lexington,AL,lauderdale,Lexington Police Department,35648,al,11060 Highway 101,256-229-5564
Rogersville,AL,lauderdale,Rogersville Town Hall,35652,al,36 Wheeler Hills Road,256-247-5446
Courtland,AL,lawrence,Courtland Police Department,35618,al,271 Alabama Street,256-637-2701
Moulton,AL,lawrence,Moulton Police Department,35650,al,14220 Court Street,256-974-3961
Town Creek,AL,lawrence,Town Creek Police Department,35672,al,16000 Main Street,256-685-3200
Auburn,AL,lee,Auburn Police Division,36830,al,161 North Ross Street,334-501-3110
Opelika,AL,lee,Opelika Police Department,36801,al,501 South 10th Street,334-705-5200
Athens,AL,limestone,Athens Police Department,35611,al,206 Hobbs Street West,256-233-8700
Hayneville,AL,lowndes,Hayneville Police Department,36040,al,133 West Lafayette Street,334-548-2128
Tuskegee,AL,macon,Franklin Police Department,36083,al,1660 Highway 49,334-727-2111
Notasulga,AL,macon,Notasulga Police Department,36866,al,76 West Main Street,334-257-3444
Shorter,AL,macon,Shorter Volunteer Fire Department,36075,al,2521 Old Federal Road,334-727-9190
Gurley,AL,madison,Gurley City Hall,35748,al,235 Walker Street,256-776-3313
Huntsville,AL,madison,Huntsville Police Chief,35801,al,815 Wheeler Avenue Northwest,256-427-7001
Huntsville,AL,madison,Lincoln Police Department,35801,al,33 Lincoln Street Southeast,205-763-7777
Madison,AL,madison,Madison City Police Department,35758,al,100 Hughes Road,256-772-5689
New Hope,AL,madison,New Hope Police Department,35760,al,5496 Main Drive,256-723-8443
Demopolis,AL,marengo,Demopolis Police Department,36732,al,301 East Washington Street,334-289-3073
Linden,AL,marengo,Linden Police Department,36748,al,211 North Main Street,334-295-8697
Brilliant,AL,marion,Brilliant Police Department,35548,al,407 Main Street,205-465-2254
Guin,AL,marion,Guin Town Police Department,35563,al,7500 U.S. highway 43,205-468-3363
Hamilton,AL,marion,Hamilton Police Department,35570,al,427 3rd Street Southwest,205-921-7424
Winfield,AL,marion,Winfield Police Department,35594,al,111 Bankhead Highway,205-487-4333
Albertville,AL,marshall,Albertville Police Department,35950,al,201 South Broad Street,256-878-1212
Arab,AL,marshall,Arab Police Investigation Division,35016,al,740 North Main Street,256-586-8124
Boaz,AL,marshall,Boaz Police Department,35957,al,101 Line Avenue,256-593-6812
Horton,AL,marshall,Douglas Police Department,35980,al,55 Highway 168,256-593-9531
Grant,AL,marshall,Grant Police Department,35747,al,4766 Main Street,256-505-7740
Guntersville,AL,marshall,Guntersville Police Department,35976,al,340 Blount Avenue,256-571-7571
Bayou La Batre,AL,mobile,Bayou La Batre Police Department,36509,al,13765 South Wintzell Avenue,251-824-2757
Chickasaw,AL,mobile,Chickasaw Police Department,36611,al,8 Lange Dr,251-452-6473
Citronelle,AL,mobile,Citronelle Police Department,36522,al,19135 South Main Street,251-866-5527
Creola,AL,mobile,Creola Police Department,36525,al,190 Dead Lake Road,251-675-8145
Dauphin Island,AL,mobile,Dauphin Island Police Department,36528,al,1015 De Soto Avenue,251-861-5523
Mobile,AL,mobile,Mobile Police Headquaters,36606,al,2460 Government Street,251-208-1700
Mount Vernon,AL,mobile,Mt Vernon Police Department,36560,al,1565 Boyles Avenue,251-829-6631
Prichard,AL,mobile,Prichard City Police Department,36610,al,216 East Prichard Avenue,251-452-2211
Saraland,AL,mobile,Saraland Police Department,36571,al,716 Saraland Boulevard South,251-675-5331
Satsuma,AL,mobile,Satsuma Police Department,36572,al,5668 2nd Street,251-675-0151
Monroeville,AL,monroe,Excel Police Department,36460,al,3199 Highway 136,251-765-2558
Monroeville,AL,monroe,Monroeville Police Department,36460,al,49 North Mount Pleasant Avenue,251-575-3246
Montgomery,AL,montgomery,Faulkner University Police Department,36109,al,5345 Atlanta Highway,334-386-7250
Montgomery,AL,montgomery,Montgomery Police Department,36104,al,320 North Ripley Street,334-241-2651
Decatur,AL,morgan,Decatur Police Department,35601,al,402 Lee Street Northeast,256-341-4600
Falkville,AL,morgan,Falkville Police Department,35622,al,21 North 1st Avenue,256-784-5922
Hartselle,AL,morgan,Hartselle Police Department,35640,al,150 Chestnut Street Northwest,256-773-3006
Decatur,AL,morgan,Priceville Police Department,35603,al,242 Marco Drive,256-355-5476
Somerville,AL,morgan,Somerville Police Department,35670,al,24 High Street,256-778-8282
Trinity,AL,morgan,Trinity Police Department,35673,al,35 Preston Drive,256-355-1326
Uniontown,AL,perry,Uniontown Police Department,36786,al,100 Front St,334-628-4021
Aliceville,AL,pickens,Aliceville Police Department,35442,al,215 1st Street Northeast,205-373-6631
Gordo,AL,pickens,Gordo Town Hall,35466,al,187 7th Street Southwest,205-364-7111
Reform,AL,pickens,Reform Police Department,35481,al,104 3rd Avenue Northeast,205-375-6363
Brundidge,AL,pike,Brundidge Police Station,36010,al,115 North Main Street,334-735-3333
Troy,AL,pike,Troy Police-Secret Witness,36081,al,300 Elm Street,334-566-0500
Roanoke,AL,randolph,Roanoke Police Department,36274,al,138 Chestnut Street,334-863-2878
Wedowee,AL,randolph,Wedowee Police Department,36278,al,13 W Broad St,256-357-2121
Hurtsboro,AL,russell,Hurtsboro Police Department,36860,al,511 Railroad Street,334-667-0701
Phenix,AL,russell,Phenix City Police Department,36867,al,1111 Broad Street,334-298-0611
Alabaster,AL,shelby,Alabaster City Police Department,35007,al,201 1st Street North,205-663-7401
Calera,AL,shelby,Calera City Police Department,35040,al,10947 Highway 25,205-668-3500
Columbiana,AL,shelby,Columbiana Police Department,35051,al,107 Mildred Street,205-669-5800
Harpersville,AL,shelby,Harpersville Police Department,35078,al,83 Town Hall Lane,205-672-2490
Helena,AL,shelby,Helena Police Department,35080,al,816 Highway 52,205-663-6499
Montevallo,AL,shelby,Montevallo Police Department,35115,al,545 Main Street,205-665-1264
Pelham,AL,shelby,Pelham Police Department,35124,al,3162 Pelham Parkway,205-620-6550
Vincent,AL,shelby,Vincent Police Department,35178,al,25 Florey St,205-672-2261
Ashville,AL,st,Ashville Police Department,35953,al,211 8th Street,205-594-4152
Branchville,AL,st,Branchville Police Department,35120,al,40 Blair Farm Road,205-629-6285
Margaret,AL,st,Margaret Police Department,35112,al,125 School Street,205-629-5501
Moody,AL,st,Moody Police Department,35004,al,2900 Daniel Drive,205-640-0339
Odenville,AL,st,Odenville Police Department,35120,al,183 Alabama Street,205-629-6366
Pell,AL,st,Pell City Police Department,35125,al,1905 1st Avenue North,205-884-3334
Ragland,AL,st,Ragland Rescue,35131,al,146 Church Circle,205-472-2151
Riverside,AL,st,Riverside Police Department,35135,al,379 Depot Street,205-338-7692
Springville,AL,st,Springville Police Department,35146,al,6327 Route 11,205-467-6133
Steele,AL,st,Steele Town Offices,35987,al,4025 Pope Avenue,256-538-8145
Livingston,AL,sumter,Livingston Police Department,35470,al,502 Lafayette Street,205-652-9525
York,AL,sumter,York Police Department,36925,al,1022 4th Avenue,205-392-5261
Childersburg,AL,talladega,Childersburg Police Department,35044,al,118 6th Avenue Southwest,256-378-7860
Sylacauga,AL,talladega,Sylacauga City Police Department,35150,al,301 North Broadway Avenue,256-245-4334
Talladega,AL,talladega,Talladega City Police Department,35160,al,203 South Saint West,256-362-4162
Alexander,AL,tallapoosa,Alexander City Police Department,35010,al,1 Court Square,256-234-3421
Camp Hill,AL,tallapoosa,Camp Hill Town Hall,36850,al,309 Holley Avenue,256-896-4148
Dadeville,AL,tallapoosa,Dadeville City Police Department,36853,al,192 South Broadnax Street,256-825-6212
Brookwood,AL,tuscaloosa,Brookwood Police Department,35444,al,15689 Highway 216,205-556-0103
Northport,AL,tuscaloosa,Northport Police Department,35473,al,3721 26th Avenue,205-333-3013
Tuscaloosa,AL,tuscaloosa,Tuscaloosa Police Department,35401,al,3801 Trevor S Phillips Avenue,205-349-2121
Vance,AL,tuscaloosa,Vance Police Department,35490,al,10909 Public Safety Dr,205-553-9917
Carbon Hill,AL,walker,Carbon Hill Town Mayor,35549,al,170 2nd Way Northwest,205-924-9961
Dora,AL,walker,Dora Police Department,35062,al,1485 Sharon Boulevard,205-648-9110
Oakman,AL,walker,Oakman Police Department,35579,al,4280 Market Street,205-622-3200
Parrish,AL,walker,Parrish Police Department,35580,al,6484 Highway 269,205-686-5265
Sipsey,AL,walker,Sipsey City Hall,,al,3835 Sipsey Road,205-648-8754
Sumiton,AL,walker,Sumiton Fire Department,35148,al,416 State Street,205-648-3261
Chatom,AL,washington,Chatom Police Department,36518,al,101 Cochran Avenue,251-847-2117
McIntosh,AL,washington,Mc Intosh Police Department,36553,al,105 Commerce Street,251-944-2973
Millry,AL,washington,Millry Police Department,36558,al,107 2nd Avenue,251-846-2508
Camden,AL,wilcox,Camden Police Department,36726,al,108 Water Street,334-682-4815
Pine Hill,AL,wilcox,Pine Hill Police Department,36769,al,50 Dunn Avenue,334-963-4588
Addison,AL,winston,Addison Police Department,35540,al,16323 County Road 41,256-747-1981
Haleyville,AL,winston,Haleyville Police Department,35565,al,1901 11th Avenue,205-486-5201
Unalaska,AK,aleutians,Unalaska Public Safety Department,99685,ak,29 Safety Way,907-581-1233
Anchorage,AK,anchorage,Anchorage Police Department,99507,ak,4501 Elmore Road,907-786-8500
Anchorage,AK,anchorage,Saint Paul Department of Public Safety,99504,ak,100 Matthew Paul Way,907-546-3130
Bethel,AK,bethel,Bethel Police Department,99559,ak,220 State Highway,907-543-3781
Dillingham,AK,dillingham,Dillingham Police Department,99576,ak,404 W D St,907-842-5354
Fairbanks,AK,fairbanks,Fairbanks Police Department,99701,ak,911 Cushman Street,907-450-6500
North Pole,AK,fairbanks,North Pole Police Department,99705,ak,125 Snowman Lane,907-488-6902
Haines,AK,haines,Haines City Police Department,99827,ak,315 Haines Highway,907-766-2121
Juneau,AK,juneau,Juneau Police Department,99801,ak,6255 Alaway Avenue,907-586-0600
Homer,AK,kenai,Homer Police Department,99603,ak,4060 Heath Street,907-235-3150
Kenai,AK,kenai,Kenai Police Department,99611,ak,107 South Willow Street,907-283-7879
Seward,AK,kenai,Seward Police Department,99664,ak,410 Adams Street,907-224-3338
Soldotna,AK,kenai,Soldotna Police Department,99669,ak,44510 Sterling Highway,907-262-4455
Ketchikan,AK,ketchikan,Ketchikan Police Department,99901,ak,361 Main Street,907-225-6631
Kodiak,AK,kodiak,Kodiak City Police Department,99615,ak,2160 Mill Bay Road,907-486-8000
St. Mary's,AK,kusilvak,St Marys Police Department,99658,ak,1 Kussug Rd,907-438-2911
Palmer,AK,matanuska,Palmer Police Department,99645,ak,423 South Valley Way,907-745-4811
Wasilla,AK,matanuska,Wasilla Police Department,99654,ak,1800 East Parks Highway,907-352-5401
Nome,AK,nome,Nome Police Department,99762,ak,500 Bering Street,907-443-5262
Barrow,AK,north,NSB Police Department,99723,ak,1068 Kiogak St,907-852-0311
Kotzebue,AK,northwest,Kotzebue City Police Department,99752,ak,258 Third Avenue,907-442-3351
Petersburg,AK,petersburg,Petersburg City Police,99833,ak,16 South Nordic Drive,907-772-3838
Craig,AK,prince,Craig Police Department,99921,ak,506 2nd St,907-826-3300
Kake,AK,prince,Kake Police Department,99548,ak,400 Kake Rd,907-785-3393
Sitka,AK,sitka,Sitka Police,99835,ak,304 Lake Street,907-747-3245
Skagway,AK,skagway,Skagway City Police,99840,ak,79 State Street,907-983-2232
Cordova,AK,valdez,Cordova Fire Department,99574,ak,610 Railroad Avenue,907-424-6100
Valdez,AK,valdez,Valdez City Police and Fire Department,99686,ak,212 Chenega Avenue,907-835-4560
Whittier,AK,valdez,Whittier Police Department,99693,ak,104 Kenai Street,907-472-2340
Wrangell,AK,wrangell,Wrangell Police Department,99929,ak,431 Zimovia Highway,907-874-3304
Yakutat,AK,yakutat,Yakutat Police Department,99689,ak,309 Max Italio Drive,907-784-3206
Fort Yukon,AK,yukon,Fort Yukon Police Department,99740,ak,170 E 7th Ave,907-662-2311
Galena,AK,yukon,Galena Police Department,99741,ak,149 Antoski Road,907-656-2177
Eagar,AZ,apache,Eagar Animal Control,85925,az,174 South Main Street,928-333-4127
Springerville,AZ,apache,Springerville Animal Control,85938,az,418 East Main Street,928-333-4240
St. Johns,AZ,apache,St Johns Police Department,85936,az,390 South 13th West,928-337-2440
Benson,AZ,cochise,Benson Police Department,85602,az,360 South Gila Street,520-586-2211
Bisbee,AZ,cochise,Bisbee Police Department,85603,az,1 Route 92,520-432-6059
Huachuca City,AZ,cochise,Huachuca City Police Department,85616,az,500 Gonzales Boulevard,520-456-1353
Douglas,AZ,cochise,Police Department-Crime Check,85607,az,300 East 14th Street,520-364-8422
Sierra Vista,AZ,cochise,Sierra Vista Police Department,85635,az,911 Coronado Drive,520-458-3311
Tombstone,AZ,cochise,Tombstone Marshals Office,85638,az,315 East Fremont Street,520-457-2244
Willcox,AZ,cochise,Willcox Police Department,85643,az,320 West Rex Allen Drive,520-384-4673
Flagstaff,AZ,coconino,Flagstaff Police Department,86001,az,911 East Sawmill Road,928-779-3646
Page,AZ,coconino,Page Police Department,86040,az,808 Coppermine Road,928-645-2462
Williams,AZ,coconino,Williams Police Department,86046,az,501 East Route 66,928-635-4421
Globe,AZ,gila,Globe Police Department,85501,az,175 North Pine Street,928-425-5751
Hayden,AZ,gila,Hayden Police Department,85135,az,601 Hayden Avenue,520-356-6205
Payson,AZ,gila,Payson Police Department,85541,az,303 North Beeline Highway,928-474-5177
Miami,AZ,gila,Police Department,85539,az,740 Sullivan Street,928-473-2466
San Carlos,AZ,gila,San Carlos Police Department,85550,az,200 W Pinal St,928-475-2224
Pima,AZ,graham,Pima Police Office,85543,az,136 West Center Street,928-485-9454
Safford,AZ,graham,Safford Police Station,85546,az,525 South 10th Avenue,928-348-3190
Thatcher,AZ,graham,Thatcher Police Department,85552,az,3700 West Main Street,928-428-2296
Morenci,AZ,greenlee,Clifton Police Department,85540,az,210 Coronado Boulevard,928-865-2555
Parker,AZ,la,Parker Police Department,85344,az,1314 West 11th Street,928-669-2265
Quartzsite,AZ,la,Quartzsite Police Department,85346,az,465 N Plymouth Ave,928-927-4644
Avondale,AZ,maricopa,Avondale Police Department - Main Station,85323,az,11485 Civic Center Drive,623-333-7001
Buckeye,AZ,maricopa,Buckeye Police Department,85326,az,100 North Apache Road,623-349-6400
Chandler,AZ,maricopa,Chandler Police Department,85225,az,250 East Chicago Street,480-782-4000
El Mirage,AZ,maricopa,El Mirage Police Department,85335,az,14406 North Primrose Street,623-933-1341
Fountain Hills,AZ,maricopa,Fountain Hills Marshals Department,85268,az,16836 East Palisades Boulevard,480-837-8800
Gilbert,AZ,maricopa,Gilbert Police Department,85296,az,75 East Civic Center Drive,480-503-6500
Glendale,AZ,maricopa,Glendale Police Museum,85301,az,6835 North 57th Drive,623-930-3000
Goodyear,AZ,maricopa,Goodyear Police Department,85338,az,119 North Litchfield Road,623-932-1220
Wickenburg,AZ,maricopa,Maricopa County Sheriff,85390,az,155 North Tegner Street,602-876-1860
Mesa,AZ,maricopa,Mesa Police Association,85201,az,130 North Robson,480-644-2211
