city,state,county,name,zip,state2,address,phone
Tempe,AZ,maricopa,Mitchell Dog Park,85281,az,900 South Mitchell Drive,480-350-5200
Tempe,AZ,maricopa,Papago Dog Park,85281,az,1000 North College Avenue,480-350-5200
Chandler,AZ,maricopa,Paseo Vista Dog Park,85249,az,773 East Ocotillo Road,480-782-2754
Phoenix,AZ,maricopa,Pecos Park Dog Park,85048,az,17071 South 48th Street,602-262-6971
Queen Creek,AZ,maricopa,Pocket Park For Pups,85142,az,22526 South Ellsworth Road,480-358-3770
Mesa,AZ,maricopa,Quail Run Dog Park,85215,az,4030 North Norwalk,
Phoenix,AZ,maricopa,RJ Dog Park at Pecos Park,85048,az,17010 South 48th Street,602-495-5500
Goodyear,AZ,maricopa,Roscoe Dog Park,85338,az,Roeser Road,623-826-0241
Peoria,AZ,maricopa,Scotland Yard Dog Park,85345,az,9251 West Scotland Avenue,623-764-0407
Lake Havasu,AZ,mohave,Lion's Dog Park,86403,az,1340 McCulloch Boulevard North,928-453-8686
Tucson,AZ,pima,Brandi Fenton Dog Park,85718,az,3398 North Alvernon Way,
Tucson,AZ,pima,Crossroads At Silverbell Dog Park,85743,az,7548 North Silverbell Road,520-572-5601
Tucson,AZ,pima,North 6th Ave Dog Park,85705,az,2075 North 6th Avenue,520-791-5909
Tucson,AZ,pima,Reid Dog Park,85716,az,900 South Randolph Way,520-791-3206
Marana,AZ,pima,San Lucas Community Dog Park,85658,az,14040 North Adonis Road,
Tucson,AZ,pima,Sixth Avenue Dog Park,85705,az,2075 North 6th Avenue,520-791-5909
Tucson,AZ,pima,Smiling Dog Ranch Dog Park,85718,az,4110 East River Road,
Casa Grande,AZ,pinal,Casa Grande Dog Park,85122,az,2525 North Pinal Avenue,
Cordes Lakes,AZ,yavapai,Henry Cordes Dog Park,86333,az,19625 East Stagecoach Trail,
Sedona,AZ,yavapai,Sedona Dog Park,86336,az,950 Soldiers Pass Road,928-203-5057
Yuma,AZ,yuma,Yuma Dog Park,85365,az,1647 East Palo Verde Street,928-373-5200
Yuma,AZ,yuma,Yuma Dog Park,85365,az,1705 East Palo Verde Street,928-373-5000
Mountain Home,AR,baxter,Mountain Home Dog Park,72653,ar,1832 Rossi Road,
Rogers,AR,benton,Murphy Memorial Dog Park,72758,ar,407 East Nursery Road,
Conway,AR,faulkner,Conway's Petsafe Dog Park,72032,ar,Acorn Kid Loop,
Little Rock,AR,pulaski,Friends of Paws Parks,72207,ar,5900 Rebsamen Park Road,
Benton,AR,saline,Benton Dog Park,72015,ar,1914 U Street,
Fort Smith,AR,sebastian,Fort Smith Dog Park,72903,ar,3301 South M Street,479-784-2368
Fayetteville,AR,washington,Iams Dog Park,72704,ar,1595 North Dartmouth Avenue,
Alameda,CA,alameda,ARPD Dog Exercise Park,94501,ca,2226 Santa Clara Avenue,
Alameda,CA,alameda,Alameda Dog Exercise Area,94501,ca,8th Street,510-748-4568
Alameda,CA,alameda,Alameda Dog Park,94501,ca,Westline Drive,510-397-1133
Alameda,CA,alameda,Alameda Small Dog Park,94501,ca,8th Street,
Dublin,CA,alameda,Bray Commons Dog Park,94568,ca,3115 Finnian Way,
Albany,CA,alameda,Buchanan Dog Beach,94706,ca,Buchanan Street,510-981-6700
Castro Valley,CA,alameda,Castro Valley Dog Park,94552,ca,4660 Crow Canyon Road,510-881-6700
Livermore,CA,alameda,Cayetano Dog Park,94551,ca,Portola Avenue,
Fremont,CA,alameda,Central Park Dog Park,94538,ca,1740 Stevenson Boulevard,510-790-5541
Dublin,CA,alameda,Dougherty Hills Dog Park,94568,ca,Stagecoach Road,
Union,CA,alameda,Drigon Dog Park,94587,ca,Mission Boulevard,510-471-3232
Hayward,CA,alameda,Eden Greenway Dog Park,94545,ca,26874 Contessa Street,
Oakland,CA,alameda,Hardy Dog Park,94618,ca,491 Hardy Street,
Oakland,CA,alameda,Joaquin Miller Dog Park,94602,ca,3590 Sanborn Drive,510-238-3187
Alameda,CA,alameda,Main Street Linear Dog Park,94501,ca,Main Street,
Oakland,CA,alameda,Mosswood Dog Run,94609,ca,3612 Webster Street,
Hayward,CA,alameda,Old Creek Dog Park of Cherryland,94541,ca,400 Hampton Road,
Oakland,CA,alameda,Piedmont Dog Park,94611,ca,711 Highland Avenue,
San Leandro,CA,alameda,San Leandro Dog Park,94577,ca,14001 Monarch Bay Drive,510-577-3971
Oakland,CA,alameda,South Prescott Dog Park,94607,ca,3rd Street,510-238-7275
Chico,CA,butte,Degarmo Dog Park,95926,ca,545 Vallombrosa Avenue,530-895-4721
Paradise,CA,butte,Moore Road Dog Park,95969,ca,6705 Moore Road,
Oroville,CA,butte,Pat Alley Memorial Dog Park,95965,ca,Montgomery Street,530-533-2011
Concord,CA,contra,Baldwin Dog Park,94519,ca,2700 Parkside Circle,925-671-3479
El Cerrito,CA,contra,Bruce King Memorial Dog Park,94530,ca,1600 Lexington Avenue,510-215-4369
Clayton,CA,contra,Clayton Dog Park,94517,ca,Marsh Creek Road,
San Ramon,CA,contra,Del Mar Dog Park,94583,ca,Del Mar Drive,
Discovery Bay,CA,contra,Discovery Bay Dog Park,94505,ca,1601 Discovery Bay Boulevard,925-392-4575
Concord,CA,contra,Freeplay Dogs Indoor Dog Park,94520,ca,1776 Arnold Industrial Way,925-692-2144
Danville,CA,contra,Hap Magee Dog Park,94526,ca,1025 La Gonda Way,925-314-3400
Hercules,CA,contra,Hercules Dog Park,94547,ca,190 Turquoise Drive,
Pittsburg,CA,contra,Highlands Ranch Dog Park,94565,ca,194 Rangewood Drive,
Richmond,CA,contra,Judge George D Carroll Dog Park,94801,ca,83 East Richmond Avenue,
Antioch,CA,contra,Markley Creek Dog Park,94509,ca,James Donlon Boulevard,
Richmond,CA,contra,Mudpuppy's at Point Isabel Dog Park,94804,ca,1 Isabel Street,888-505-2998
Pinole,CA,contra,Pinole Dog Park,94564,ca,3790 Pinole Valley Road,
Concord,CA,contra,The Paw Patch Dog Park at Newhall Park,94521,ca,1351 Newhall Parkway,925-671-3404
South Lake Tahoe,CA,el,Bijou Dog Park,96150,ca,1201 Al Tahoe Boulevard,530-542-6056
Fresno,CA,fresno,Basin AH1 Dog Park,93722,ca,4257 West Alamos Avenue,559-621-2900
Fresno,CA,fresno,Dr James W Thornton Dog Park,93726,ca,3934 North Hayston Avenue,559-233-8708
Eureka,CA,humboldt,Eureka Dog Park,95501,ca,2020 Watson Street,707-599-0371
Fortuna,CA,humboldt,Fortuna Dog Park,95540,ca,100 Dinsmore Drive,707-725-3959
Bishop,CA,inyo,Bishop Dog Park,93514,ca,218 East Yaney Street,
Ridgecrest,CA,kern,Ridgecrest Dog Park,93555,ca,300 French Avenue,
Bakersfield,CA,kern,The Apt's Dog Park,93308,ca,6001 Krebs Road,
Bakersfield,CA,kern,University Park & Dog Park,93306,ca,4301 University Avenue,661-326-3000
Lemoore,CA,kings,Waggin' Tails Dog Park,93245,ca,957 Tammy Lane,
Pasadena,CA,los,Alice Frost Kennedy Dog Park,91107,ca,3026 East Orange Grove Boulevard,626-744-7195
Arcadia,CA,los,Arcadia Dog Park,91006,ca,North 2nd Avenue,626-574-5113
Culver,CA,los,Boneyard Dog Park,90230,ca,Duquesne Avenue,310-390-9114
Santa Clarita,CA,los,Canine Country Off Leash Dog Park,91350,ca,20880 Centre Pointe Parkway,
West Covina,CA,los,Central Bark Dog Park,91791,ca,1500 East Rowland Avenue,
Glendora,CA,los,City of Glendora Dog Park,91740,ca,715 East Mauna Loa Avenue,
Diamond Bar,CA,los,Diamond Bar Bark Park,91765,ca,738 Pantera Drive,909-839-7060
Diamond Bar,CA,los,Diamond Bar Dog Park,91765,ca,738 Pantera Drive,909-839-7060
El Segundo,CA,los,El Segundo Dog Park,90245,ca,600 East Imperial Avenue,310-524-2300
Bellflower,CA,los,Flora Vista Dog Park,90706,ca,9203 Flora Vista Street,562-804-1424
Los Angeles,CA,los,Griffith Park Dog Park,90027,ca,North Zoo Drive,323-913-4688
Los Angeles,CA,los,Hermon Dog Park,90042,ca,5568 Via Marisol,323-255-0370
Lakewood,CA,los,Home Run Dog Park,90713,ca,20531 Studebaker Road,562-803-3301
Santa Monica,CA,los,Joslyn BBall & Dog Park,90405,ca,2300 7th Street,310-396-1763
Long Beach,CA,los,K-9 Corner Dog Park,90813,ca,East 9th Street,562-570-7387
Los Angeles,CA,los,Knoll Hill Dog Park,90731,ca,705 North Front Street,310-514-0338
Los Angeles,CA,los,LAPD Lawn Dog Park,90012,ca,100 West 1st Street,323-644-3946
Lawndale,CA,los,Lawndale Dog Park,90260,ca,14725 Larch Avenue,
Long Beach,CA,los,Long Beach Dog Park,90803,ca,5000 East Ocean Boulevard,562-570-3100
Los Angeles,CA,los,Los Angeles Live Dog Park,90015,ca,L.A. Live Way,213-765-6844
Novato,CA,marin,Dogbone Meadow,94945,ca,2551 Novato Boulevard,415-899-8200
San Rafael,CA,marin,Field of Dogs Dog Park,94903,ca,Civic Center Drive,415-479-2838
Mill Valley,CA,marin,Mill Valley Dog Park,94941,ca,450 Sycamore Avenue,
San Anselmo,CA,marin,Red Hill Dog Park,94960,ca,180 Shaw Drive,415-258-4640
Sausalito,CA,marin,Sausalito Dog Park,94965,ca,100 Ebbtide Avenue,415-846-8323
Fort Bragg,CA,mendocino,Fort Bragg Dog Park,95437,ca,Maple Street,
Willits,CA,mendocino,Frank Grasse Dog Park,95490,ca,East Commercial Street,
Ukiah,CA,mendocino,Low Gap Dog Park,95482,ca,1167 Low Gap Road,707-463-6231
Mendocino,CA,mendocino,Mendocino Dog Park,95460,ca,44700 Pine Street,707-937-4133
Merced,CA,merced,Merced Dog Park,95348,ca,West Yosemite Avenue,
Monterey,CA,monterey,City of Monterey Dog Park,93940,ca,777 Pearl Street,831-646-3860
Marina,CA,monterey,Schoonover Dog Park,93933,ca,601 Thomas Court,831-883-3150
Seaside,CA,monterey,William Pacchetti Dog Park,93955,ca,Kimball Avenue,
American Canyon,CA,napa,American Canyon Dog Park,94503,ca,2801 Broadway Street,
Napa,CA,napa,Canine Commons Dog Park,94558,ca,Dry Creek Road,707-257-9529
Calistoga,CA,napa,Franquelin Dog Park,94515,ca,1401 North Oak Street,707-303-0010
Grass Valley,CA,nevada,Dogs Run Free,95945,ca,660 Minnie Street,530-273-9268
Truckee,CA,nevada,Martis Creek Lake Dog Park,96161,ca,11645 Martis Drive,530-587-8113
Los Alamitos,CA,orange,Arbor Dog Park,90720,ca,4665 Lampson Avenue,714-431-2527
Huntington Beach,CA,orange,Best Friend Dog Park,92647,ca,Edwards Street,716-642-7962
Newport Beach,CA,orange,Civic Center Dog Park,92660,ca,1521 Avocado Avenue,949-644-3309
Costa Mesa,CA,orange,Costa Mesa Bark Park,92626,ca,890 Arlington Drive,949-733-4101
Coto de Caza,CA,orange,Coto De Caza Dog Park,92679,ca,Vía Pajaro,
San Juan Capistrano,CA,orange,Dr Joe Cortese Dog Park,92675,ca,30291 Camino Capistrano,
Fullerton,CA,orange,Fullerton Pooch Park,92833,ca,201 South Basque Avenue,714-738-3330
Garden Grove,CA,orange,Garden Grove Dog Park,92844,ca,9301 Westminster Avenue,714-590-2790
Huntington Beach,CA,orange,Huntington Beach Dog Park,92647,ca,Edwards Street,714-536-5672
Irvine,CA,orange,Irvine Central Bark Dog Park,92618,ca,6405 Oak Canyon,949-724-7740
Anaheim,CA,orange,La Palma Dog Park,92801,ca,1151 North Anaheim Boulevard,714-765-5191
Mission Viejo,CA,orange,La Paws Dog Park,92692,ca,25100 Felipe Road,949-470-3000
Laguna Beach,CA,orange,Laguna Beach Dog Park,92651,ca,Laguna Canyon Road,949-499-9243
Laguna Niguel,CA,orange,Laguna Niguel Dog Park,92677,ca,31461 Street of the Golden Lantern,949-362-4300
Laguna Woods,CA,orange,Laguna Woods Dog Park,92637,ca,24400 Ridge Route Drive,949-639-0500
Irvine,CA,orange,Los Olivos Dog Park,92618,ca,6301 Ansel,
Newport Beach,CA,orange,Newport Beach Dog Park,92660,ca,100 Civic Center Drive,949-644-3309
Orange,CA,orange,Orange Dog Park,92869,ca,190 South Yorba Street,714-744-7274
Rancho Santa Margarita,CA,orange,Rancho Santa Margarita Dog Park,92688,ca,24328 Antonio Parkway,949-216-9700
San Clemente,CA,orange,San Clemente Dog Park,92673,ca,301 Avenida La Pata,
Auburn,CA,placer,Ashley Memorial Dog Park,95603,ca,1601 Auburn Ravine Road,530-885-8461
Lincoln,CA,placer,Auburn Ravine Dog Park,95648,ca,1300 Green Ravine Drive,
Roseville,CA,placer,Bear Dog Park,95747,ca,1575 Pleasant Grove Boulevard,916-772-7529
Roseville,CA,placer,Marco Dog Park,95661,ca,1800 Sierra Gardens Drive,916-774-2854
Rocklin,CA,placer,RRUFF Dog Park,95677,ca,5480 5th Street,916-435-0196
Lake Elsinore,CA,riverside,Canyon Hills Dog Park,92532,ca,31989 Hollyhock Way,800-400-2284
Riverside,CA,riverside,Carlson Dog Park,92501,ca,Mission Inn Avenue,951-826-2000
Cathedral,CA,riverside,Cathedral City Dog Park,92234,ca,68752 Buddy Rogers Avenue,
Corona,CA,riverside,Corona Dog Park,92880,ca,1886 Butterfield Drive,
Jurupa Valley,CA,riverside,Country Village Dog Park,91752,ca,10251 Country Club Drive,
Moreno Valley,CA,riverside,Hound Town Dog Park,92555,ca,11150 Redlands Boulevard,
Palm Desert,CA,riverside,Joe Mann Dog Park,92211,ca,77810 California Drive,
La Quinta,CA,riverside,La Quinta Dog Park,92253,ca,44950 Seeley Drive,
Indio,CA,riverside,Mulligan Dog Park,92201,ca,45355 Van Buren Street,
Banning,CA,riverside,Noble Creek Community Dog Park,92220,ca,14th Street,951-769-8524
Hemet,CA,riverside,Oltman Dog Park,92545,ca,Cawston Avenue North,
Palm Desert,CA,riverside,Palm Desert Dog Park,92260,ca,43900 San Pablo Avenue,
Palm Springs,CA,riverside,Palm Springs Dog Park,92262,ca,222 North Civic Drive,760-323-8283
Riverside,CA,riverside,Pat Merritt Dog Park,92509,ca,Limonite Frontage Road,951-358-7387
Riverside,CA,riverside,Riverwalk Dog Park,92505,ca,Pierce Street,
La Quinta,CA,riverside,Seasons Dog Park,92253,ca,78100 Cloud View Way,
Temecula,CA,riverside,Temecula Dog Exercise Area,92592,ca,44747 Redhawk Parkway,951-694-6444
Palm Desert,CA,riverside,University Dog Park,92211,ca,74960 Gerald Ford Drive,760-346-0611
Sacramento,CA,sacramento,Bannon Creek Dog Park,95833,ca,2780 Azevedo Drive,877-411-3436
Citrus Heights,CA,sacramento,C-bar-C Park Dog Park,95610,ca,8275 Oak Avenue,916-725-1585
Elk Grove,CA,sacramento,Elk Grove Off Leash Dog Park,95624,ca,9950 Elk Grove Florin Road,916-405-5300
Folsom,CA,sacramento,FIDO Field - Folsom Dog Park,95630,ca,1775 Creekside Drive,916-355-7285
Rancho Cordova,CA,sacramento,Hagan Off Leash Dog Park,95670,ca,2197 Chase Drive,916-369-9844
Sacramento,CA,sacramento,Howe Avenue Dog Park,95825,ca,2201 Cottage Way,
Elk Grove,CA,sacramento,Jacinto Creek Dog Park,95758,ca,8600 West Stockton Boulevard,916-808-5200
Sacramento,CA,sacramento,Lynn Robie Dog Park,95832,ca,7735 Freeport Boulevard,
Fair Oaks,CA,sacramento,Phoenix Dog Park,95628,ca,8999 Kruitof Way,916-374-9009
Sacramento,CA,sacramento,Power Inn Road Dog Park,95826,ca,8200 Ramona Avenue,
Sacramento,CA,sacramento,Regency Community Dog Park,95835,ca,Bridgecross Drive,
Sacramento,CA,sacramento,Seabreeze Dog Park,95838,ca,North Avenue,
Sacramento,CA,sacramento,Sutter's Landing Park - Dog Park,95816,ca,20 28th Street,916-808-5200
Sacramento,CA,sacramento,The Bark Park,95827,ca,3839 Bradshaw Road,916-368-7387
Apple Valley,CA,san,Apple Valley Dog Park,92307,ca,14999 Dale Evans Parkway,
Highland,CA,san,Aurantia Dog Park,92346,ca,29624 Greenspot Road,
Upland,CA,san,Baldy View Dog Park,91786,ca,West 11th Street,909-931-4280
Big Bear Lake,CA,san,Bear Park Dog Park,92315,ca,41220 Park Avenue,909-866-9700
Rancho Cucamonga,CA,san,Etiwanda Creek Community Dog Park,91739,ca,5939 East Avenue,909-477-2765
Crestline,CA,san,Lake Gregory Dog Park,92325,ca,24171 Lake Drive,909-338-2233
Loma Linda,CA,san,Loma Linda Dog Park,92354,ca,Beaumont Avenue,
Ontario,CA,san,Ontario Dog Park,91762,ca,415 West Transit Street,
Chino,CA,san,Prado Recreation Dog Park,91708,ca,17505 Euclid Avenue,909-597-6366
Redlands,CA,san,Redlands Dog Park,92374,ca,East Highland Avenue,909-633-1008
Ontario,CA,san,Schimmel Dog Park,91764,ca,1106 East I Street,909-946-6921
Needles,CA,san,Spike's Desert Dog Park,92363,ca,1193 Filip Mendez Parkway,
Carlsbad,CA,san,Ann D L'Heureux Memorial Dog Park,92010,ca,2700 Carlsbad Village Drive,760-434-2824
Poway,CA,san,Beagle Brigade,92064,ca,13094 Bowron Road,760-591-4116
San Diego,CA,san,Cadman Dog Park,92117,ca,4280 Avati Drive,
San Diego,CA,san,Capehart Dog Park,92109,ca,4747 Soledad Mountain Road,619-221-8901
Coronado,CA,san,Coronado Beach Dog Park,92118,ca,Ocean Boulevard,619-522-7342
San Diego,CA,san,Dog Park at Doyle Park,92122,ca,Decoro Street,
Encinitas,CA,san,Encinitas Power Lines Dog Park,92024,ca,1679 Mountain Vista Drive,
San Diego,CA,san,Grape Street Dog Park,92102,ca,Grape Street,619-268-4804
Encinitas,CA,san,Maggie Houlihan Memorial Dog Park,92024,ca,425 Santa Fe Drive,
San Diego,CA,san,Mariner's Cove Dog Park,92107,ca,4378 West Point Loma Boulevard,619-224-2278
Escondido,CA,san,Mayflower Dog Park,92027,ca,3450 East Valley Parkway,760-839-4691
San Marcos,CA,san,Montiel Dog Park,92069,ca,Montiel Road,760-744-9000
San Diego,CA,san,Nate's Point Dog Park,92103,ca,2500 Balboa Drive,619-325-5620
San Diego,CA,san,Nobel Dog Park,92122,ca,8820 Judicial Drive,
Oceanside,CA,san,Oceanside Dog Park,92058,ca,2905 San Luis Rey Road,760-757-4357
San Diego,CA,san,Pacific Beach Dog Park,92109,ca,5115 Soledad Road,858-581-9927
Poway,CA,san,Poway Dog Park,92064,ca,13094 Civic Center Drive,858-668-4671
San Diego,CA,san,Rancho Penasquitos Dog Park,92129,ca,Salmon River Road,
Santee,CA,san,Santee Dog Park,92071,ca,10250 Woodglen Vista Drive,
San Diego,CA,san,Scripps Ranch Dog Park,92131,ca,9970 Scripps Ranch Boulevard,858-860-5760
San Francisco,CA,san,25th St Dog Park,94107,ca,25th Street,
San Francisco,CA,san,Alemany Boulevard Dog Park,94132,ca,3550 Alemany Boulevard,
San Francisco,CA,san,Castro Dog Park,94114,ca,4124 18th Street,415-525-4743
San Francisco,CA,san,Cole Valley Dog Park,94117,ca,86 Carl Street,
San Francisco,CA,san,Collingwood Dog Park,94114,ca,Collingwood Street,
San Francisco,CA,san,Crissy Field Dog Run,94129,ca,Mason Street,415-437-0100
San Francisco,CA,san,Dolores Park Dog Run Area,94131,ca,207 Day Street,415-831-5520
San Francisco,CA,san,Golden Gate Park Dog Run,94121,ca,2725 Anza Street,415-386-2014
San Francisco,CA,san,Panhandle Dog Run,94117,ca,421 Central Avenue,415-831-2090
San Francisco,CA,san,Rincon Hill Dog Park,94105,ca,486 Beale Street,
San Francisco,CA,san,SoMa West Skate and Dog Park,94103,ca,Central Freeway,415-242-6390
San Francisco,CA,san,St Mary's Park and Dog Park,94112,ca,95 Justin Drive,
San Francisco,CA,san,Stern Grove Dog Park,94132,ca,2750 19th Avenue,650-829-3800
San Francisco,CA,san,Upper Douglass Dog Park,94131,ca,800 27th Street,415-970-8063
Stockton,CA,san,Barkleyville Dog Park,95219,ca,5505 Feather River Drive,
Lathrop,CA,san,Mossdale Landing Dog Park,95330,ca,700 Towne Centre Drive,209-941-7370
Tracy,CA,san,Tracy Dog Park,95376,ca,301 Grant Line Road,209-831-6200
Arroyo Grande,CA,san,Arroyo Grande Dog Park,93420,ca,1221 Ash Street,805-473-5474
Cambria,CA,san,Cambria Dog Park,93428,ca,2706 Main Street,805-927-3624
San Luis Obispo,CA,san,El Chorro Dog Park,93405,ca,Dairy Creek Road,805-781-5930
Arroyo Grande,CA,san,Elm Street Dog Park,93420,ca,1221 Ash Street,805-474-0105
Atascadero,CA,san,Heilmann Dog Park,93422,ca,1100 El Bordo Avenue,805-781-5930
Paso Robles,CA,san,Sherwood Dog Park,93446,ca,290 Scott Street,
Templeton,CA,san,Vineyard Dog Park,93465,ca,Semillon Lane,805-239-4437
Redwood,CA,san,Bair Island Dog Park,94063,ca,702 Bair Island Road,
Brisbane,CA,san,Brisbane Dog Park,94005,ca,Park Place,
South San Francisco,CA,san,Centennial Way Dog Park,94080,ca,35 West Orange Avenue,650-829-3837
Belmont,CA,san,Cipriani Dog Park,94002,ca,2525 Buena Vista Avenue,
Half Moon Bay,CA,san,Half Moon Bay Dog Park,94019,ca,400 Wavecrest Road,
Redwood,CA,san,Linden Apartment's Dog Park,94061,ca,224 Linden Street,
Pacifica,CA,san,Oddstad Dog Park,94044,ca,1050 Crespi Drive,
San Mateo,CA,san,Seal Point Dog Park,94401,ca,1801 East 3rd Avenue,
Redwood,CA,san,Shore Dogs Park,94065,ca,1393 Radio Road,650-654-6538
Lompoc,CA,santa,Barkin Park,93436,ca,511 Summerwood Lane,
Lompoc,CA,santa,Lompoc Barkin Park,93436,ca,300 West Barton Avenue,
Santa Maria,CA,santa,WOOF Pac Off-Leash Dog Park,93455,ca,300 Goodwin Road,805-896-2344
San Jose,CA,santa,Camden Hillsdale Dog Park,95118,ca,Camden Avenue,
San Jose,CA,santa,Discovery Dog Park,95110,ca,400 Park Avenue,
Gilroy,CA,santa,Gilroy Dog Park,95020,ca,400 Mantelli Drive,408-846-0444
San Jose,CA,santa,Hellyer Park Dog Enclosure,95111,ca,995 Hellyer Avenue,
San Jose,CA,santa,Hellyer Sandy Lot Dog Park,95111,ca,995 Hellyer Avenue,
Sunnyvale,CA,santa,Las Palmas Dog Park,94087,ca,850 Russet Drive,
Cupertino,CA,santa,Mary Avenue Dog Park,95014,ca,10309 Mary Avenue,
San Jose,CA,santa,Miyuki Dog Park,95119,ca,Miyuki Drive,408-277-4573
Morgan Hill,CA,santa,Morgan Hill Dog Park,95037,ca,17575 Peak Avenue,408-782-2128
Santa Clara,CA,santa,Reed Street Dog Park,95050,ca,888 Reed Street,408-615-3144
San Jose,CA,santa,Roy M Butcher Dog Park,95124,ca,3950 Camden Avenue,408-794-7275
San Jose,CA,santa,Selma Olinder Dog Park,95116,ca,Woodborough Drive,
Mountain View,CA,santa,Village Green Dog Park,94040,ca,685 San Antonio Road,
San Jose,CA,santa,Watson Dog Park,95112,ca,North 22nd Street,
Aptos,CA,santa,Aptos Dog Park,95003,ca,2255 Huntington Drive,
Santa Cruz,CA,santa,Chanticleer Dog Park,95062,ca,1975 Chanticleer Avenue,
Watsonville,CA,santa,Franich Dog Park,95076,ca,795 Vista Montana Drive,
Santa Cruz,CA,santa,Mimi De Marta Dog Park,95060,ca,130 Broadway,831-420-5270
Santa Cruz,CA,santa,Pacheco Dog Park,95065,ca,Pacheco Avenue,
Watsonville,CA,santa,Pinto Lake County Dog Park,95076,ca,757 Green Valley Road,831-454-7901
Scotts Valley,CA,santa,Scotts Valley Dog Park,95066,ca,361 Kings Village Road,831-438-3251
Benicia,CA,solano,Phenix Dog Park,94510,ca,100 Dempsey Drive,
Vallejo,CA,solano,Wardlaw Dog Park,94591,ca,1805 Ascot Parkway,707-704-6167
Glen Ellen,CA,sonoma,Elizabeth Anne Perrone Dog Park,95442,ca,13630 Highway 12,707-565-2041
Petaluma,CA,sonoma,Rocky Memorial Dog Park,94954,ca,Casa Grande Road,707-778-4380
Rohnert Park,CA,sonoma,Rohnert Park Dog Park,94928,ca,5010 Roberts Lake Road,707-588-3456
Healdsburg,CA,sonoma,Villa Dog Park,95448,ca,Villa Chanticleer Road,
Modesto,CA,stanislaus,CR Ranch Pet-O-Tel & Ranch Resort & Dog Park,95356,ca,6060 American Avenue,209-545-1255
Modesto,CA,stanislaus,Modesto Dog Park,95354,ca,West Morris Avenue,
Oakdale,CA,stanislaus,Oakdale Dog Park,95361,ca,7910 Crane Road,
Modesto,CA,stanislaus,Prescott Church Dog Park,95350,ca,3000 Prescott Road,
Turlock,CA,stanislaus,Turlock Dog Park,95380,ca,500 South Berkeley Avenue,
Yuba,CA,sutter,Yuba-Sutter Dog Park,95991,ca,Wild River Drive,530-329-1997
Red Bluff,CA,tehama,Samuel Ayer Dog Island Park,96080,ca,1360 Main Street,530-527-8177
Reedley,CA,tulare,The Jimmie Low Community Dog Park,93654,ca,3018 Ridge Creek Drive,
Camarillo,CA,ventura,Camarillo Dog Park,93010,ca,3818 Almendro Way,
Oxnard,CA,ventura,College Park Dog Park,93036,ca,1000 Town Center Drive,805-385-7545
Thousand Oaks,CA,ventura,Conejo Creek Dog Park,91360,ca,1350 East Avenida De Las Flores,805-495-6471
